City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,iqaluit,68,CA,1533416495,70,63.75,-68.52,47.44,8.3
1,lazaro cardenas,40,MX,1533411600,26,28.39,-105.62,93.2,5.82
2,butaritari,32,KI,1533416496,100,3.07,172.79,82.18,8.75
3,quatre cocos,20,MU,1533412800,68,-20.21,57.76,71.6,6.93
4,chuy,88,UY,1533416496,95,-33.69,-53.46,55.45,13.0
5,upernavik,24,GL,1533416497,85,72.79,-56.15,42.76,5.17
6,ushuaia,40,AR,1533412800,48,-54.81,-68.31,39.2,9.17
7,rosarito,75,CO,1533412800,54,4.91,-75.23,82.4,4.7
8,lardos,20,GR,1533414000,78,36.09,28.02,78.8,8.05
9,florianopolis,0,BR,1533412800,82,-27.6,-48.55,68.0,2.24
10,ponta do sol,44,BR,1533416498,81,-20.63,-46.0,68.59,7.4
11,faanui,68,PF,1533416498,100,-16.48,-151.75,78.22,16.24
12,longyearbyen,75,NO,1533412200,71,78.22,15.63,51.8,5.82
13,hilo,90,US,1533414420,78,19.71,-155.08,80.6,8.05
14,mataura,48,NZ,1533416499,83,-46.19,168.86,29.17,2.82
15,pokaran,48,IN,1533416500,54,26.93,71.92,86.77,15.9
16,grindavik,40,IS,1533414600,71,63.84,-22.43,55.4,8.05
17,guerrero negro,8,MX,1533416500,54,27.97,-114.04,84.61,12.66
18,thompson,32,CA,1533416501,69,55.74,-97.86,73.36,7.4
19,rikitea,92,PF,1533416501,100,-23.12,-134.97,72.55,10.2
20,upington,0,ZA,1533412800,59,-28.46,21.24,48.2,5.82
21,hithadhoo,88,MV,1533416502,100,-0.6,73.08,82.9,2.59
22,skjervoy,92,NO,1533416502,100,70.03,20.97,53.56,4.83
23,asyut,0,EG,1533412800,40,27.18,31.19,87.8,6.93
24,tiksi,0,RU,1533416502,77,71.64,128.87,54.91,6.17
25,port alfred,0,ZA,1533416503,83,-33.59,26.89,63.01,18.14
26,natal,20,BR,1533412800,69,-5.81,-35.21,80.6,13.87
27,tomaszow mazowiecki,0,PL,1533414600,73,51.53,20.01,71.6,2.24
28,tigil,76,RU,1533416504,88,57.8,158.67,52.48,7.52
29,pevek,32,RU,1533416504,100,69.7,170.27,40.96,6.4
30,dikson,20,RU,1533416504,88,73.51,80.55,45.46,10.31
31,sao joao da barra,20,BR,1533412800,73,-21.64,-41.05,77.0,6.93
32,yellowknife,8,CA,1533416251,84,62.45,-114.38,57.61,4.16
33,kaka,0,TM,1533416505,72,37.35,59.62,62.02,2.37
34,comodoro rivadavia,75,AR,1533412800,36,-45.87,-67.48,62.6,25.28
35,wana,0,PK,1533416506,92,32.31,69.59,58.96,1.81
36,huilong,0,CN,1533416506,91,28.89,110.18,70.75,2.15
37,chiredzi,0,ZW,1533416506,69,-21.05,31.67,61.93,6.96
38,sheffield lake,1,US,1533413700,42,41.49,-82.1,87.8,5.82
39,qaanaaq,80,GL,1533416507,94,77.48,-69.36,38.98,4.61
40,turayf,0,SA,1533412800,35,31.68,38.65,84.2,4.7
41,aykhal,0,RU,1533416508,76,65.95,111.51,40.96,4.38
42,qaqortoq,92,GL,1533415800,71,60.72,-46.03,51.8,10.29
43,klaksvik,92,FO,1533414000,87,62.23,-6.59,51.8,12.75
44,port-gentil,75,GA,1533412800,83,-0.72,8.78,75.2,9.17
45,jamestown,0,AU,1533416509,44,-33.21,138.6,51.94,20.49
46,cape town,20,ZA,1533412800,87,-33.93,18.42,51.8,3.36
47,virginia beach,1,US,1533416040,74,36.85,-75.98,89.6,12.75
48,ancud,92,CL,1533416510,99,-41.87,-73.83,51.85,8.19
49,hamilton,20,BM,1533412500,66,32.3,-64.78,84.2,10.29
50,dhidhdhoo,92,MV,1533416456,100,6.88,73.1,82.63,9.64
51,itarema,0,BR,1533416461,59,-2.92,-39.92,83.26,15.35
52,inhambane,0,MZ,1533416511,99,-23.87,35.38,68.41,13.67
53,viransehir,0,TR,1533416511,39,37.24,39.76,74.44,7.74
54,sept-iles,32,CA,1533416405,68,50.2,-66.38,70.84,4.16
55,harper,75,US,1533413700,29,30.3,-99.24,95.0,11.41
56,anuchino,100,RU,1533416512,100,43.97,133.06,61.66,2.37
57,hobart,0,AU,1533412800,87,-42.88,147.33,48.2,8.05
58,miandrivazo,0,MG,1533416513,59,-19.53,45.46,54.82,2.71
59,puerto ayora,40,EC,1533412800,57,-0.74,-90.35,78.8,14.99
60,saint george,0,GR,1533412200,64,39.45,22.34,71.6,8.05
61,kapaa,75,US,1533412560,78,22.08,-159.32,82.4,23.04
62,sobolevo,36,RU,1533416514,84,54.43,31.9,65.44,4.38
63,northam,0,GB,1533415800,68,51.04,-4.21,68.0,3.36
64,new norfolk,0,AU,1533412800,87,-42.78,147.06,48.2,8.05
65,margate,0,AU,1533412800,87,-43.03,147.26,48.2,8.05
66,bathsheba,75,BB,1533412800,78,13.22,-59.52,82.4,14.99
67,gonbad-e qabus,44,IR,1533416515,56,37.25,55.17,79.03,3.49
68,tuktoyaktuk,100,CA,1533416515,82,69.44,-133.03,49.51,11.99
69,krasnyy yar,0,RU,1533416515,81,50.7,44.73,65.35,3.94
70,tarauaca,0,BR,1533416516,62,-8.16,-70.77,88.3,3.6
71,faya,20,SA,1533412800,56,18.39,42.45,69.8,5.82
72,punta arenas,20,CL,1533412800,55,-53.16,-70.91,37.4,20.8
73,lompoc,1,US,1533414900,23,34.64,-120.46,93.2,16.11
74,nabire,64,ID,1533416517,93,-3.36,135.5,66.88,1.92
75,albany,40,US,1533415860,51,42.65,-73.75,86.0,3.94
76,tabuk,88,PH,1533416517,97,17.41,121.44,68.59,1.03
77,wanning,75,AT,1533414000,61,48.64,13.53,80.6,5.82
